speaker,utt_id,utterance,emotion,sentiment,eda1,eda2,eda3,eda4,eda5,EDA,all_match,con_match,match
b'Chandler',0,b'also I was the point person on my company\xc2\x92s transition from the KL-5 to GR-6 system.',neutral,neutral,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'The Interviewer',1,b'You must\xc2\x92ve had your hands full.',neutral,neutral,sv,sd,sv,sd,sv,sv,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Chandler',2,b'That I did. That I did.',neutral,neutral,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'The Interviewer',3,b'So let\xc2\x92s talk a little bit about your duties.',neutral,neutral,sd,ad,sv,sv,sd,sv,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'Chandler',4,b'My duties?  All right.',surprise,positive,fc,qy,fc,qy,fc,fc,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'The Interviewer',5,"b'Now you\xc2\x92ll be heading a whole division, so you\xc2\x92ll have a lot of duties.'",neutral,neutral,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Chandler',6,b'I see.',neutral,neutral,bk,sd,b,bk,b,b,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'The Interviewer',7,b'But there\xc2\x92ll be perhaps 30 people under you so you can dump a certain amount on them.',neutral,neutral,sd,sv,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Chandler',8,b'Good to know.',neutral,neutral,sv,sv,ba,sv,ba,ba,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'The Interviewer',9,b'We can go into detail',neutral,neutral,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Chandler',10,b'No don\xc2\x92t I beg of you!',fear,negative,sd,sd,sd,sd,fc,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'The Interviewer',11,"b'All right then, we\xc2\x92ll have a definite answer for you on Monday, but I think I can say with some confidence, you\xc2\x92ll fit in well here.'",neutral,neutral,sd,sd,sv,sd,sv,sv,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'Chandler',12,b'Really?!',surprise,positive,bh,qy,bh,qy,br,xx,AllNotMatch,NotConMatch,NotMatch
b'The Interviewer',13,b'Absolutely.  You can relax',neutral,neutral,sd,sd,sv,sv,sd,sv,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'Joey',0,b'But then who? The waitress I went out with last month?',surprise,negative,sd,qy,qw,qw,qy,qw,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'Rachel',1,b'You know? Forget it!',sadness,negative,qy^d,qy,ad,qh,qy,xx,AllNotMatch,NotConMatch,NotMatch
b'Joey',2,"b'No-no-no-no, no! Who, who were you talking about?'",surprise,negative,qy,qy,qw,^q,ny,xx,AllNotMatch,NotConMatch,NotMatch
b'Rachel',3,"b""No, I-I-I-I don't, I actually don't know""",fear,negative,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Joey',4,b'Ok!',neutral,neutral,fp,b,bk,"fo_o_fw_""_by_bc",b,xx,AllNotMatch,NotConMatch,NotMatch
b'Joey',5,"b'All right, well...'",neutral,neutral,fc,fc,b,fc,b,b,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'Rachel',8,"b'Yeah, sure!'",neutral,neutral,b,b,ba,fc,b,xx,AllNotMatch,NotConMatch,NotMatch
b'Chandler',0,"b'Hey, Mon.'",neutral,neutral,ba,ad,fc,fc,fc,fc,AllNotMatch,ConMatch,NotMatch
b'Monica',1,b'Hey-hey-hey. You wanna hear something that sucks.',neutral,neutral,^q,sv,fc,fc,sv,fc,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'Chandler',2,b'Do I ever.',joy,positive,qy,qy,qy,qy,br,qy,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Monica',3,b'Chris says they\xc2\x92re closing down the bar.',sadness,negative,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Chandler',4,b'No way!',surprise,negative,sv,aa,bf,sv,nn,xx,AllNotMatch,NotConMatch,NotMatch
b'Monica',5,"b'Yeah, apparently they\xc2\x92re turning it into some kinda coffee place.'",neutral,neutral,sd,sd,sd,sd,bf,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Chandler',6,b'Just coffee! Where are we gonna hang out now?',disgust,negative,qw,qy,qy,qw,qy,qy,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Monica',7,b'Got me.',sadness,negative,sd,qy^d,ad,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Chandler',8,b'Can I get a beer.',neutral,neutral,sd,sd,ad,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Monica',9,"b'Hey, did you pick a roommate?'",neutral,neutral,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Chandler',10,b'You betcha!',joy,positive,ba,bh,ba,sv,na,xx,AllNotMatch,NotConMatch,NotMatch
b'Monica',11,b'Is it the Italian guy?',neutral,neutral,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Chandler',12,"b'Um-mm, yeah right!'",joy,positive,aa,aa,ng,ny,nn,xx,AllNotMatch,NotConMatch,NotMatch
b'Phoebe',0,"b'Oh my God, oh my God! Poor Monica!'",surprise,negative,ba,ba,ba,^h,sd,xx,AllNotMatch,NotConMatch,NotMatch
b'Chandler',1,"b'What, what, what?!'",surprise,negative,qw,br,qw,qw,qw,qw,AllNotMatch,ConMatch,NotMatch
